Peringkat,Suku,JumlahPenduduk,Persentase
1,Jawa,94843073,"40.06"
2,Sunda,36704944,"15.51"
3,Melayu,8753791,"3.70"
4,Batak,8466969,"3.58"
5,Madura,7179356,"3.03"
6,Betawi,6807968,"2,88"
7,Minangkabau,6462713,"2,73"
8,Bugis,6415103,"2,71"
9,Banten,4642389,"1,96"
10,Banjar,4127124,"1,74"
11,Bali,3924908,"1,66"
12,Aceh,3404109,"1,44"
13,Dayak,3219626,"1,36"
14,Sasak,3175006,"1,34"
15,Tionghoa,2832510,"1,2"
16,Makassar,2672590,"1,13"
17,Cirebon,1877514,"0,79"
18,Lampung,1376390,"0,58"
19,Palembang,1252258,"0,53"
20,Gorontalo,1251884,"0,53"
21,Minahasa,1240232,"0,52"
22,Nias,1041925,"0,44"
23,Buton,937761,"0,40"
24,Atoni,933093,"0,39"
25,Toraja,857250,"0,36"
26,Kaili,770088,"0,33"
27,Manggarai,737615,"0,31"
28,Ogan,721613,"0,30"
29,Mandar,684688,"0,29"
30,Bangka,683193,"0,29"
31,Bima,665383,"0,28"
32,Sumba,658721,"0,28"
33,Musi,654105,"0,28"
34,Dani,650898,"0,27"
35,Sangir,553853,"0,23"
36,Rejang,454673,"0,19"
37,Ambon,442585,"0,19"
38,Tolaki,425938,"0,18"
39,Luwu,420117,"0,18"
40,Sumbawa,396906,"0,17"
41,Komering,370119,"0,16"
42,Gayo,336856,"0,14"
43,Muna,332437,"0,14"
44,Mee,316357,"0,13"
45,Mongondow,304292,"0,13"
46,Kerinci,303550,"0,13"
47,Lamaholot,294615,"0,12"
48,Ngada,289950,"0,12"
49,Osing,286653,"0,12"
50,Kutai,279055,"0,12"
51,Timor Leste,269368,"0,11"
52,Flores,260069,"0,11"
53,Bajau,241836,"0,10"
54,Rote,239346,"0,10"
55,Duri,238084,"0,10"
56,Kei,213826,"0,09"
57,Biak,204415,"0,09"
58,Belitung,201068,"0,08"
59,Alor,196529,"0,08"
60,Seram,194818,"0,08"
61,Rawas,192705,"0,08"
62,Lio,187155,"0,08"
63,Pamona,186163,"0,08"
64,Sawu,177297,"0,07"
65,Banggai,165381,"0,07"
66,Enim,163628,"0,07"
67,Lembak,163262,"0,07"
68,Rambang,144986,"0,06"
69,Ngalik,133812,"0,06"
70,Mamasa,133659,"0,06"
71,Ternate,133110,"0,06"
72,Asmat,132991,"0,06"
73,Selayar,131213,"0,06"
74,Mbojo,127972,"0,05"
75,Daya,121289,"0,05"
76,Buol,119713,"0,05"
77,Arab,118866,"0,05"
78,Tobelo,115946,"0,05"
79,Tanimbar,110597,"0,05"
80,Mamuju,108229,"0,05"
81,Galela,102456,"0,04"
82,Yapen,99305,"0,04"
83,Dauwa,99239,"0,04"
84,Alas,98223,"0,04"
85,Saluan,97134,"0,04"
86,Talaud,97314,"0,04"
87,Poso Pesisir,96535,"0,04"
88,Tomini,93879,"0,04"
89,Makian,90960,"0,04"
90,Saparua,89674,"0,04"
91,Tidore,87524,"0,04"
92,Sula,84858,"0,04"
93,Bawean,83409,"0,04"
94,Arfak,73828,"0,03"
95,Pasir,73350,"0,03"
96,Lauje,72371,"0,03"
97,Mentawai,69145,"0,03"
98,Simeulue,67722,"0,03"
99,Aneuk Jamee,63357,"0,03"
100,Moni,63309,"0,03"
101,Dompu,61817,"0,03"
102,Buru,57521,"0,02"
103,Singkil,52982,"0,02"
104,Tamiang,52901,"0,02"
105,Aifat,52654,"0,02"
106,Mariri,45550,"0,02"
107,Taa,44579,"0,02"
108,Muko-Muko,43750,"0,02"
109,Ketengban,42025,"0,02"
110,Tialo,41703,"0,02"
111,Kaur,40863,"0,02"
112,Moronene,40025,"0,02"
113,Marind Anim,37558,"0,02"
114,Pattae,34962,"0,01"
115,Geser-Gorom,33598,"0,01"
116,Haruku,31052,"0,01"
117,Aru,30942,"0,01"
118,Sentani,30661,"0,01"
119,Ngalum,29186,"0,01"
120,Pekal,29173,"0,01"
121,Mimika,28645,"0,01"
122,Loloda,28132,"0,01"
123,Kisar,27963,"0,01"
124,Akit,27769,"0,01"
125,Babar,27450,"0,01"
126,Hubula,27353,"0,01"
127,Waropen,27073,"0,01"
128,Mbaham,24521,"0,01"
129,Bali Aga,23826,"0,01"
130,Tobaru,23704,"0,01"
131,Banda,23247,"0,01"
132,Kao,22970,"0,01"
133,Damal,22479,"0,01"
134,Moi,21923,"0,01"
135,Yaghay,21121,"0,01"
136,Patani,19387,"0,01"
137,Kalumpang,18350,"0,01"
138,Wandamen,16562,"0,01"
139,Tehit,16398,"0,01"
140,Suwawa,16374,"0,01"
141,Kore,16313,"0,01"
142,Irarutu,12033,"0,01"
143,Kokoda,10146,"0,00"
144,Inanwatan,9685,"0,00"
145,Wamesa,9548,"0,00"
146,Atinggola,6090,"0,00"
147,Lain-lainnya,2199556,"0,89"
